_id,etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
161,717,7,كلية الحقوق والعلوم السياسية بسوسة,Faculté de Droit et et des Sciences Politiques de Sousse,http://www.fdsps.rnu.tn/,Sousse,Public,35.805770939389475,10.611961318247857
162,703,7,كلية الطب بسوسة,Faculté de Médecine de Sousse,www.medecinesousse.com,Sousse,Public,35.828526979457855,10.625715821364988
163,702,7,كلية الآداب والعلوم الإنسانية بسوسة,Faculté des Lettres et des Sciences Humaines de Sousse,fls.rnu.tn,Sousse,Public,35.801222542405064,10.61601818330712
164,718,7,كلية العلوم الإقتصادية والتصرف بسوسة,Faculté des Sciences Economiques et de Gestion de Sousse,fsegso.rnu.tn,Sousse,Public,35.7999493804612,10.617989313511014
165,704,7,معهد الدراسات العليا التجارية بسوسة,Institut des Hautes Etudes Commerciales de Sousse,ihecso.rnu.tn,Sousse,Public,35.831694680368216,10.590605717104811
166,713,7,المعهد العالي للعلوم الفلاحية بشط مريم,Institut Supérieur Agronomique de Chott Mériem,isa-cm.agrinet.tn,Sousse,Public,35.91977888183557,10.566205203178754
167,707,7,المعهد العالي للمالية والجباية بسوسة,Institut Supérieur de Finances et de Fiscalité de Sousse,isffs.rnu.tn,Sousse,Public,35.81993969581127,10.636354518162369
168,710,7,المعهد العالي للتصرف بسوسة,Institut Supérieur de Gestion de Sousse,isgs.rnu.tn,Sousse,Public,35.81407543911409,10.62553085494109
169,706,7,المعهد العـالي للـموسيـقى بسوسة,Institut Supérieur de Musique de Sousse,isms.tn,Sousse,Public,35.81994804076276,10.635548071784548
170,708,7,المعهد العالي للفنون الجميلة بسوسة,Institut Supérieur des Beaux Arts de Sousse,isbas.rnu.tn,Sousse,Public,35.831136252402686,10.6388496432921
171,709,7,المعهد العالي للعلوم التطبيقية والتكنولوجيا بسوسة,Institut Supérieur des Sciences Appliquées et de Technologie de Sousse,issatso.rnu.tn,Sousse,Public,35.81190247595861,10.637120257065588
172,712,7,المعهد العالي لعلوم التمريض بسوسة,Institut Supérieur des Sciences Infirmières de Sousse,sciencesinfirmieres-sousse.tn/public/,Sousse,Public,35.8278487153256,10.624847422089696
173,711,7,المعهد العالي للإعلامية وتقنيات الإتصال بحمام سوسة,Institut Supérieur d'Informatique et des Technologies de Communication de Hammam Sousse,isitcom.rnu.tn,Sousse,Public,35.85794683350204,10.59916560207576
174,705,7,المعهد العالي للنقل وخدمات الإتصال بسوسة,Institut Supérieur du Transport et de la Logistique de Sousse,istls.rnu.tn,Sousse,Public,35.798775732354876,10.61598819931827
